case,candidate_id,reference_id,abstraction_seed,solver_seed,evaluation_seed,samples,deviator_traversals_per_seat,candidate_stored_fraction,candidate_flop_stored_fraction,candidate_turn_stored_fraction,candidate_river_stored_fraction,candidate_postflop_gate_passed,heldout_trained_fraction,heldout_postflop_gate_passed,row_gate_passed,max_clamped_gain,point_champion,quality_status,formal_decision,game_fingerprint,candidate_abstraction_fingerprint,reference_abstraction_fingerprint
cash,C-E256-street,s3-ehs2-k512,0,1011,424242,8192,1600000,0.997145261629346,0.9934243803743045,0.9799210006583279,0.9530026109660574,true,0.988054815511327,true,true,1.5813403320312498,true,noninferior,screening_only,c35365b8e6ab8df1bbacdd9a6a862c527205bc048c58fa7db8b05f81bf3bc55b,29e5f5f110b46a9fcdb2ea953d878604267dc2d0d9d0ca484982ed1107a41dad,1958b8ffb6d7980c639d3358eb8d82b741b1f1c7c0491bd334bb9e23cbc994c4
cash,C-E64-street,s3-ehs2-k512,0,1011,424242,8192,1600000,0.9969490585226047,0.9935929648241206,0.9803738317757009,0.9737894269213683,true,0.9883981238007249,true,true,2.4252261962890604,false,unresolved,screening_only,c35365b8e6ab8df1bbacdd9a6a862c527205bc048c58fa7db8b05f81bf3bc55b,3ed0ca3edaabd3bf14e88ce08705d3e14175e5ea419c41b2b9753883e334b120,1958b8ffb6d7980c639d3358eb8d82b741b1f1c7c0491bd334bb9e23cbc994c4
cash,C-R256-base-street,s3-ehs2-k512,0,1011,424242,8192,1600000,0.9956747978257987,0.9870461905573547,0.9656513285806869,0.9467496542185339,false,0.987830991800282,true,false,2.1876572265625005,false,unresolved,screening_only,c35365b8e6ab8df1bbacdd9a6a862c527205bc048c58fa7db8b05f81bf3bc55b,b53aac0bf05588b22d7cb5aa22ac3184a6acdd0f617648086dfe4b731c9895c1,1958b8ffb6d7980c639d3358eb8d82b741b1f1c7c0491bd334bb9e23cbc994c4
tournament,T-E128-street,s3-ehs2-k512,0,1011,424242,8192,1600000,0.9979912956143288,0.9951256092988376,0.9939963978387032,0.9983130904183536,true,0.9755304861670696,true,true,0.2629238110083871,true,noninferior,screening_only,a31e08f41b36e46fcf340e432d27209dea872bcfa21e3104ee6037255e0af512,685e2b1d6a50a8299ad9c62e95d58d68de34f55cb66bfa1b40ecc10a048a8727,1958b8ffb6d7980c639d3358eb8d82b741b1f1c7c0491bd334bb9e23cbc994c4
tournament,T-E64-street,s3-ehs2-k512,0,1011,424242,8192,1600000,0.9975822122016702,0.9926216278533548,0.9944898346950408,0.9948075748320098,true,0.9769342863090694,true,true,0.39327946275563147,false,unresolved,screening_only,a31e08f41b36e46fcf340e432d27209dea872bcfa21e3104ee6037255e0af512,3ed0ca3edaabd3bf14e88ce08705d3e14175e5ea419c41b2b9753883e334b120,1958b8ffb6d7980c639d3358eb8d82b741b1f1c7c0491bd334bb9e23cbc994c4
tournament,T-R128-base-street,s3-ehs2-k512,0,1011,424242,8192,1600000,0.9971807502841986,0.9938049807954404,0.9923572003218021,0.9881315700237369,true,0.9755093583811036,true,true,0.33338478664177423,false,unresolved,screening_only,a31e08f41b36e46fcf340e432d27209dea872bcfa21e3104ee6037255e0af512,e13ee5c2f1787e1841cf8a1fa611f6c419528da010770f5a322e46f477856610,1958b8ffb6d7980c639d3358eb8d82b741b1f1c7c0491bd334bb9e23cbc994c4
cash,C-E256-street,s3-rollout-k512-r4096-s7001,0,1011,424242,8192,1600000,0.997145261629346,0.9934243803743045,0.9799210006583279,0.9530026109660574,true,0.9873769969657855,true,true,1.6833631591796874,true,noninferior,screening_only,c35365b8e6ab8df1bbacdd9a6a862c527205bc048c58fa7db8b05f81bf3bc55b,29e5f5f110b46a9fcdb2ea953d878604267dc2d0d9d0ca484982ed1107a41dad,10382a8bd0f31c8b64e2b0460535448d9c3cac07918c92372e0a7a385c479263
cash,C-R256-base-street,s3-rollout-k512-r4096-s7001,0,1011,424242,8192,1600000,0.9956747978257987,0.9870461905573547,0.9656513285806869,0.9467496542185339,false,0.9860708067324434,true,false,2.278535156250002,false,unresolved,screening_only,c35365b8e6ab8df1bbacdd9a6a862c527205bc048c58fa7db8b05f81bf3bc55b,b53aac0bf05588b22d7cb5aa22ac3184a6acdd0f617648086dfe4b731c9895c1,10382a8bd0f31c8b64e2b0460535448d9c3cac07918c92372e0a7a385c479263
tournament,T-E128-street,s3-rollout-k512-r4096-s7001,0,1011,424242,8192,1600000,0.9979912956143288,0.9951256092988376,0.9939963978387032,0.9983130904183536,true,0.9735071949009256,true,true,0.2530017041556692,true,noninferior,screening_only,a31e08f41b36e46fcf340e432d27209dea872bcfa21e3104ee6037255e0af512,685e2b1d6a50a8299ad9c62e95d58d68de34f55cb66bfa1b40ecc10a048a8727,10382a8bd0f31c8b64e2b0460535448d9c3cac07918c92372e0a7a385c479263
tournament,T-R128-base-street,s3-rollout-k512-r4096-s7001,0,1011,424242,8192,1600000,0.9971807502841986,0.9938049807954404,0.9923572003218021,0.9881315700237369,true,0.970374761086783,true,true,0.38436975814932234,false,inferior,screening_only,a31e08f41b36e46fcf340e432d27209dea872bcfa21e3104ee6037255e0af512,e13ee5c2f1787e1841cf8a1fa611f6c419528da010770f5a322e46f477856610,10382a8bd0f31c8b64e2b0460535448d9c3cac07918c92372e0a7a385c479263
